id,trx_dt,cust_id,prd_id,qty,total_price
1,2022-11-05,93,34,3,109800
2,2022-11-01,6,6,10,31000
3,2022-11-03,99,9,7,77700
4,2022-11-05,14,9,7,77700
5,2022-11-01,11,33,2,59000
6,2022-11-02,7,26,1,5800
7,2022-11-03,82,13,6,68400
8,2022-11-02,99,22,2,6000
9,2022-11-02,93,28,3,17400
10,2022-11-03,15,15,2,17200
11,2022-11-01,94,10,2,23000
12,2022-11-03,98,6,5,15500
13,2022-11-05,93,26,3,17400
14,2022-11-03,78,21,5,15000
15,2022-11-03,2,11,3,34800
16,2022-11-02,46,9,4,44400
17,2022-11-03,15,19,9,272700
18,2022-11-03,85,33,6,177000
19,2022-11-02,59,15,7,60200
20,2022-11-04,28,1,3,9300
21,2022-11-01,91,12,1,11400
22,2022-11-02,19,7,5,15500
23,2022-11-04,20,30,10,196000
24,2022-11-05,74,32,4,88800
25,2022-11-01,64,15,9,77400
26,2022-11-02,29,24,4,18400
27,2022-11-04,2,28,4,23200
28,2022-11-05,73,21,5,15000
29,2022-11-01,25,3,4,12400
30,2022-11-04,25,2,1,3100
31,2022-11-03,96,4,2,6200
32,2022-11-04,53,34,5,183000
33,2022-11-03,65,22,2,6000
34,2022-11-01,95,16,1,9100
35,2022-11-01,45,12,1,11400
36,2022-11-02,68,2,2,6200
37,2022-11-02,17,5,4,12400
38,2022-11-01,95,10,2,23000
39,2022-11-01,7,17,5,12000
40,2022-11-02,71,3,1,3100
41,2022-11-05,62,12,8,91200
42,2022-11-04,98,31,10,89000
43,2022-11-02,57,18,1,8700
44,2022-11-05,45,17,3,7200
45,2022-11-05,62,10,10,115000
46,2022-11-01,87,10,6,69000
47,2022-11-05,67,24,10,46000
48,2022-11-04,54,11,7,81200
49,2022-11-05,94,23,5,52500
50,2022-11-02,8,24,8,36800
51,2022-11-01,33,3,4,12400
52,2022-11-02,14,21,8,24000
53,2022-11-04,2,21,10,30000
54,2022-11-04,40,17,8,19200
55,2022-11-04,3,18,10,87000
56,2022-11-03,4,28,8,46400
57,2022-11-03,95,2,6,18600
58,2022-11-02,79,4,10,31000
59,2022-11-04,78,7,3,9300
60,2022-11-03,79,8,6,18600
61,2022-11-05,85,7,5,15500
62,2022-11-02,77,31,5,44500
63,2022-11-01,29,29,9,25200
64,2022-11-05,99,10,5,57500
65,2022-11-05,51,2,1,3100
66,2022-11-03,20,30,8,156800
67,2022-11-05,100,27,9,52200
68,2022-11-05,4,13,6,68400
69,2022-11-04,16,29,4,11200
70,2022-11-04,20,9,4,44400
71,2022-11-01,33,4,2,6200
72,2022-11-01,44,10,3,34500
73,2022-11-03,81,4,7,21700
74,2022-11-01,6,18,8,69600
75,2022-11-03,2,14,6,68400
76,2022-11-02,66,3,9,27900
77,2022-11-01,6,6,8,24800
78,2022-11-03,1,13,8,91200
79,2022-11-04,81,2,10,31000
80,2022-11-03,28,14,8,91200
81,2022-11-04,36,4,7,21700
82,2022-11-05,18,17,2,4800
83,2022-11-03,87,11,10,116000
84,2022-11-01,4,10,8,92000
85,2022-11-01,64,14,8,91200
86,2022-11-05,31,14,3,34200
87,2022-11-02,3,19,5,151500
88,2022-11-04,33,13,9,102600
89,2022-11-04,33,32,6,133200
90,2022-11-01,88,3,5,15500
91,2022-11-03,12,20,5,97500
92,2022-11-04,75,26,5,29000
93,2022-11-03,48,16,1,9100
94,2022-11-03,56,1,5,15500
95,2022-11-01,84,4,5,15500
96,2022-11-02,49,24,2,9200
97,2022-11-04,35,10,1,11500
98,2022-11-03,21,15,5,43000
99,2022-11-03,7,19,6,181800
100,2022-11-02,20,21,3,9000
101,2022-11-01,24,12,8,91200
102,2022-11-05,85,12,6,68400
103,2022-11-04,32,13,2,22800
104,2022-11-04,80,6,6,18600
105,2022-11-01,40,23,10,105000
106,2022-11-05,30,23,9,94500
107,2022-11-03,68,30,9,176400
108,2022-11-02,79,17,6,14400
109,2022-11-02,68,5,6,18600
110,2022-11-05,76,20,4,78000
111,2022-11-03,68,21,5,15000
112,2022-11-01,53,8,7,21700
113,2022-11-05,63,6,2,6200
114,2022-11-03,13,34,1,36600
115,2022-11-04,20,2,8,24800
116,2022-11-04,7,31,10,89000
117,2022-11-04,63,34,7,256200
118,2022-11-04,14,25,10,46000
119,2022-11-01,6,29,4,11200
120,2022-11-02,66,12,2,22800
121,2022-11-04,88,4,4,12400
122,2022-11-03,5,2,7,21700
123,2022-11-04,38,13,2,22800
124,2022-11-01,7,31,7,62300
125,2022-11-01,47,24,7,32200
126,2022-11-03,24,22,5,15000
127,2022-11-03,9,24,7,32200
128,2022-11-04,35,12,4,45600
129,2022-11-02,52,2,1,3100
130,2022-11-01,47,6,9,27900
131,2022-11-02,50,35,10,185000
132,2022-11-03,12,22,10,30000
133,2022-11-01,49,34,3,109800
134,2022-11-03,36,16,9,81900
135,2022-11-05,68,8,10,31000
136,2022-11-04,90,24,4,18400
137,2022-11-03,41,26,9,52200
138,2022-11-03,93,4,6,18600
139,2022-11-01,65,12,5,57000
140,2022-11-01,6,16,9,81900
141,2022-11-05,76,16,9,81900
142,2022-11-04,5,26,6,34800
143,2022-11-04,100,14,8,91200
144,2022-11-01,73,16,4,36400
145,2022-11-04,64,29,4,11200
146,2022-11-01,99,11,6,69600
147,2022-11-01,85,6,9,27900
148,2022-11-04,70,26,3,17400
149,2022-11-01,60,34,7,256200
150,2022-11-04,42,33,5,147500
151,2022-11-02,57,17,3,7200
152,2022-11-01,42,2,8,24800
153,2022-11-05,24,21,9,27000
154,2022-11-05,62,25,4,18400
